title, author, year, country, language, pages, price, quantiy
Things Fall Apart, Chinua Achebe, 1958, Nigeria, English, 209,100.00,1000
Fairy tales, Hans Christian Andersen, 1836, Denmark, Danish, 784,100.00,1000
The Divine Comedy, Dante Alighieri, 1315, Italy, Italian, 928,100.00,1000
The Epic Of Gilgamesh, Unknown, 18th - 17th century BCE, Sumer and Akkadian Empire, Akkadian, 160,100.00,1000
The Book Of Job, Unknown, 7th - 4th century BCE, Achaemenid Empire, Hebrew, 176,100.00,1000
One Thousand and One Nights, Unknown, 1200, India/Iran/Iraq/Egypt/Tajikistan, Arabic, 288,100.00,1000
Njál's Saga, Unknown, 13th century, Iceland, Old Norse, 384,100.00,1000
Pride and Prejudice, Jane Austen, 1813, United Kingdom, English, 226,100.00,1000
Le Père Goriot, Honoré de Balzac, 1835, France, French, 443,100.00,1000
"Molloy, Malone Dies, The Unnamable, the trilogy", Samuel Beckett, 1952, Republic of Ireland, "French, English", 256,100.00,1000
The Decameron, Giovanni Boccaccio, 1351, Italy, Italian, 1024,100.00,1000
Ficciones, Jorge Luis Borges,1965, Argentina, Spanish, 224,100.00,1000
Wuthering Heights, Emily Brontë,1847, United Kingdom, English, 342,100.00,1000
